Estacion AMB NORMAL;;;Sensor IOT (PROM);;;
Fecha;Hora;Valor;Fecha;Hora;Valor;
4/12/2018;7:00:00;21,7;4/12/2018;7:01:10;18,71428680419920;
4/12/2018;8:00:00;24,7;4/12/2018;8:01:10;17,71428680419920;
4/12/2018;9:00:00;21,5;4/12/2018;9:01:10;10,28571414947500;
4/12/2018;10:00:00;17,5;4/12/2018;10:01:10;9,57142829895019;
4/12/2018;11:00:00;16,4;4/12/2018;11:01:10;16,71428680419920;
4/12/2018;12:00:00;15,2;4/12/2018;12:01:20;27,42857170104980;
4/12/2018;13:00:00;13;4/12/2018;13:01:11;30,85713958740230;
4/12/2018;14:00:00;12,1;4/12/2018;14:01:10;31,42857170104980;
4/12/2018;15:00:00;12;4/12/2018;15:01:10;14,42857074737540;
4/12/2018;16:00:00;13,8;4/12/2018;16:01:10;14,14285659790030;
4/12/2018;17:00:00;15,3;4/12/2018;17:01:10;13,85714149475090;
4/12/2018;18:00:00;16,8;4/12/2018;18:01:10;12,85714340209960;
4/12/2018;19:00:00;14,4;4/12/2018;19:01:10;16,28571319580070;
4/12/2018;20:00:00;13,6;4/12/2018;20:01:11;12,14285659790030;
4/12/2018;21:00:00;13,4;4/12/2018;21:01:10;12,14285659790030;
4/12/2018;22:00:00;13,9;4/12/2018;22:01:10;14,85714149475090;
4/12/2018;23:00:00;11,6;4/12/2018;23:01:10;19,85714340209960;
5/12/2018;0:00:00;12,1;5/12/2018;0:01:11;25,71428680419920;
5/12/2018;1:00:00;15,1;5/12/2018;1:01:11;14,71428489685050;
5/12/2018;2:00:00;15,2;5/12/2018;2:01:11;16,42857170104980;
5/12/2018;3:00:00;15,2;5/12/2018;3:01:11;14,99999904632560;
5/12/2018;4:00:00;12,3;5/12/2018;4:01:12;20,71428489685050;
5/12/2018;5:00:00;9,2;5/12/2018;5:01:11;20,42857360839840;
5/12/2018;6:00:00;13,6;5/12/2018;6:01:11;19,85714340209960;
5/12/2018;7:00:00;17,7;5/12/2018;7:01:11;18,71428871154780;
5/12/2018;8:00:00;22,6;5/12/2018;8:01:11;21,42857360839840;
5/12/2018;9:00:00;22,8;5/12/2018;9:01:20;30,71428489685050;
5/12/2018;10:00:00;17,6;5/12/2018;10:01:11;17,71428489685050;
5/12/2018;11:00:00;14,8;5/12/2018;11:01:11;14,71428394317620;
5/12/2018;12:00:00;13;5/12/2018;12:01:11;30,28571319580070;
5/12/2018;13:00:00;11,5;5/12/2018;13:01:11;20,57143020629880;
5/12/2018;14:00:00;12,2;5/12/2018;14:01:11;19,14285659790030;
5/12/2018;15:00:00;12;5/12/2018;15:01:20;15,71428585052490;
5/12/2018;16:00:00;11,4;5/12/2018;16:01:11;15,28571319580070;
5/12/2018;17:00:00;13,5;5/12/2018;17:01:11;12,14285659790030;
5/12/2018;18:00:00;15,5;5/12/2018;18:01:11;11,42857265472410;
5/12/2018;19:00:00;17,7;5/12/2018;19:01:11;13,00000000000000;
5/12/2018;20:00:00;14,3;5/12/2018;20:01:11;13,00000000000000;
5/12/2018;21:00:00;13,8;5/12/2018;21:01:11;15,71428585052490;
5/12/2018;22:00:00;13,4;5/12/2018;22:01:11;20,57142829895010;
5/12/2018;23:00:00;15,6;5/12/2018;23:01:11;21,28571319580070;
6/12/2018;0:00:00;17,4;6/12/2018;0:01:11;16,85714340209960;
6/12/2018;1:00:00;17,4;6/12/2018;1:01:11;15,99999904632560;
6/12/2018;2:00:00;17,2;6/12/2018;2:01:11;15,42857170104980;
6/12/2018;3:00:00;17,8;6/12/2018;3:01:11;13,71428585052490;
6/12/2018;4:00:00;18;6/12/2018;4:01:11;15,14285659790030;
6/12/2018;5:00:00;19,1;6/12/2018;5:01:11;15,71428489685050;
6/12/2018;6:00:00;12,7;6/12/2018;6:01:11;17,42856979370110;
